origin,dest,trips_sum
HYKS,HYKS,1389016.4891304348
HYKS,KYS,7789.086956521739
HYKS,OYS,1773.857142857143
HYKS,TAYS,16709.630434782608
HYKS,TYKS,7688.478260869565
HYKS,Åland,57.60227272727273
KYS,HYKS,8990.318681318682
KYS,KYS,459867.1098901099
KYS,OYS,3286.197802197802
KYS,TAYS,4557.131868131868
KYS,TYKS,364.7362637362637
KYS,Åland,7.230769230769231
OYS,HYKS,1798.195652173913
OYS,KYS,3360.2065217391305
OYS,OYS,407636.26086956525
OYS,TAYS,1592.358695652174
OYS,TYKS,2417.197802197802
OYS,Åland,7.375
TAYS,HYKS,22928.164835164836
TAYS,KYS,4359.923076923077
TAYS,OYS,1675.4945054945056
TAYS,TAYS,511505.52173913043
TAYS,TYKS,12404.29347826087
TAYS,Åland,7.475
TYKS,HYKS,11315.582417582418
TYKS,KYS,562.065934065934
TYKS,OYS,2870.164835164835
TYKS,TAYS,14139.098901098901
TYKS,TYKS,518173.2197802198
TYKS,Åland,2007.4285714285713
Åland,HYKS,19.078125
Åland,OYS,5.0
Åland,TAYS,7.0
Åland,TYKS,76.58888888888889
Åland,Åland,17275.315217391304
